"radial position, mm"	h75mm	h125mm	h175mm	h225mm	h275mm	h325mm	h375mm	h425mm	h475mm	h525mm	h575mm	h625mm	h675mm	h725mm	h775mm	h825mm
46.888199	0	0	0	0	0.0217798	0.090710551	0.1218742	0.1716897	0.20540205	0.17018364	0.14527591	0.1193255	0.081790097	0.06128465	0	0
47.025299	0	0	0	0	0.020042051	0.087814301	0.12106325	0.17018364	0.20331675	0.16775081	0.1441174	0.11805115	0.081095003	0.06128465	0	0
47.162399	0	0	0	0	0.0183043	0.084802203	0.120484	0.16856176	0.20146315	0.1652021	0.14295889	0.11689265	0.08051575	0.06128465	0	0
47.2995	0	0	0	0	0.016682399	0.081790097	0.1200206	0.16693985	0.19960955	0.16276924	0.1418004	0.11573415	0.079820648	0.061052948	0	0
47.4366	0	0	0	0	0.0150605	0.078777999	0.1195572	0.16531795	0.19798765	0.16045225	0.1406419	0.1146915	0.079009697	0.060937099	0	0
47.5737	0	0	0	0	0.0136703	0.075881749	0.11920965	0.16358019	0.19636574	0.15825111	0.13959925	0.11364885	0.078314602	0.060705401	0	0
47.7108	0	0	0	0	0.0125118	0.072753802	0.1190938	0.16195831	0.19474386	0.15604995	0.13844074	0.11249035	0.077387802	0.060473699	0	0
47.8479	0	0	0	0	0.0113533	0.069857553	0.11897795	0.16033641	0.1930061	0.1538488	0.13739809	0.1114477	0.0766927	0.060242001	0	0
47.985001	0	0	0	0	0.0104265	0.066729598	0.1186304	0.15859865	0.19126835	0.1517635	0.13612375	0.11040505	0.0757659	0.05989445	0	0
48.122101	0	0	0	0	0.00961555	0.063833348	0.1183987	0.1568609	0.1895306	0.1501416	0.1348494	0.1091307	0.075070798	0.059778601	0	0
48.259201	0	0	0	0	0.00892045	0.061052948	0.11781945	0.15512314	0.18790869	0.14851969	0.1334592	0.10785635	0.074375696	0.05943105	0	0
48.396301	0	0	0	0	0.0085729	0.058388401	0.1172402	0.15326954	0.18628681	0.14689779	0.1323007	0.1068137	0.073680602	0.059083499	0	0
48.533401	0	0	0	0	0.00799365	0.055608001	0.1163134	0.15118425	0.1848966	0.14562345	0.13102636	0.10553935	0.0729855	0.058851801	0	0
48.670502	0	0	0	0	0.00776195	0.053059299	0.1153866	0.14898311	0.18339054	0.1441174	0.12998369	0.1044967	0.072174549	0.058620099	0	0
48.807598	0	0	0	0	0.0074144	0.050626449	0.11434395	0.14655025	0.18176866	0.1427272	0.1288252	0.10345405	0.071479447	0.058272552	0	0
48.944698	0	0	0	0	0.0071827	0.048309449	0.11318545	0.14400154	0.1800309	0.14145285	0.12778255	0.10229555	0.070784353	0.057925001	0	0
49.081799	0	0	0	0	0.006951	0.046224151	0.11202695	0.14133701	0.1781773	0.14006265	0.12662405	0.1012529	0.069973402	0.05757745	0	0
49.218899	0	0	0	0	0.0067193	0.044254702	0.1109843	0.13867246	0.1763237	0.13867246	0.12546556	0.10021025	0.0692783	0.057345752	0	0
49.355999	0	0	0	0	0.0064876	0.0426328	0.10970995	0.13600791	0.17435426	0.13751395	0.1241912	0.099051751	0.068583198	0.056998201	0	0
49.493099	0	0	0	0	0.0062559	0.04112675	0.1084356	0.13334335	0.1726165	0.1362396	0.1230327	0.097893253	0.067656398	0.05665065	0	0
49.630199	0	0	0	0	0.0060242	0.039620701	0.1070454	0.1306788	0.17064705	0.13519695	0.12175835	0.096734747	0.066845447	0.056303099	0	0
49.7673	0	0	0	0	0.00590835	0.03834635	0.10553935	0.1278984	0.16879345	0.1341543	0.120484	0.0954604	0.066150352	0.055839699	0	0
49.9044	0	0	0	0	0.00590835	0.037303701	0.1040333	0.12546556	0.166824	0.13311166	0.11920965	0.094070204	0.065339401	0.055376299	0	0
50.0415	0	0	0	0	0.0057925	0.036376901	0.10229555	0.12291685	0.1649704	0.13206901	0.1177036	0.092795849	0.064760149	0.054912899	0	0
50.1786	0	0	0	0	0.0057925	0.035450101	0.1005578	0.1207157	0.16300096	0.1311422	0.11642925	0.091405652	0.063949198	0.05433365	0	0
50.315701	0	0	0	0	0.00590835	0.034870852	0.098704197	0.11851455	0.16114736	0.13021541	0.1151549	0.090015449	0.063254103	0.053638551	0	0
50.452801	0	0	0	0	0.00590835	0.03417575	0.096850596	0.11666095	0.1591779	0.12940446	0.1137647	0.088741101	0.062443148	0.052943449	0	0
50.589901	0	0	0	0	0.0060242	0.033828199	0.094997004	0.11503905	0.15720844	0.1285935	0.11225865	0.087582603	0.06174805	0.052132498	0	0
50.727001	0	0	0	0	0.0060242	0.03371235	0.093259253	0.11341715	0.15512314	0.12778255	0.11063675	0.086424097	0.061168801	0.051321551	0	0
50.864101	0	0	0	0	0.00614005	0.033480652	0.091637351	0.11202695	0.1531537	0.1269716	0.10924655	0.08514975	0.060473699	0.0505106	0	0
51.001202	0	0	0	0	0.00614005	0.033480652	0.090015449	0.1107526	0.15118425	0.12627649	0.1077405	0.083991252	0.059778601	0.0495838	0	0
51.138302	0	0	0	0	0.0062559	0.033364799	0.088393547	0.1095941	0.14933065	0.12546556	0.10646615	0.082716897	0.059083499	0.048657	0	0
51.275398	0	0	0	0	0.00637175	0.03324895	0.086771652	0.10855145	0.1473612	0.1246546	0.10530765	0.08144255	0.058388401	0.047846049	0	0
51.412498	0	0	0	0	0.00637175	0.033133101	0.08514975	0.1075088	0.14562345	0.1237278	0.10414915	0.080168203	0.057809152	0.046919249	0	0
51.549599	0	0	0	0	0.0064876	0.032901399	0.083411999	0.10646615	0.143654	0.122801	0.10299065	0.078777999	0.057345752	0.045992449	0	0
51.686699	0	0	0	0	0.00660345	0.03278555	0.081674248	0.10553935	0.1420321	0.12175835	0.1021797	0.077387802	0.056766499	0.045065649	0	0
51.823799	0	0	0	0	0.00660345	0.032669701	0.080052353	0.10461255	0.14029434	0.120484	0.1012529	0.075881749	0.056303099	0.044138849	0	0
51.960899	0	0	0	0	0.0067193	0.032669701	0.078430451	0.1038016	0.13890415	0.1190938	0.10044195	0.074607402	0.055839699	0.043212049	0	0
52.098	0	0	0	0	0.00683515	0.032669701	0.077040248	0.1028748	0.13728225	0.11735605	0.099630997	0.073101349	0.055492152	0.042401101	0	0
52.2351	0	0	0	0	0.006951	0.032669701	0.075650051	0.10206385	0.13554449	0.11573415	0.098820053	0.071595304	0.055028751	0.041358449	0	0
52.3722	0	0	0	0	0.006951	0.032553852	0.074491553	0.10136875	0.13392261	0.1142281	0.098009102	0.069973402	0.054681201	0.040431648	0	0
52.5093	0	0	0	0	0.00706685	0.032437999	0.073564753	0.10067365	0.1323007	0.11272205	0.097198151	0.068467349	0.0542178	0.039620701	0	0
52.6464	0	0	0	0	0.00706685	0.03232215	0.072637953	0.1000944	0.13079464	0.11133185	0.096503049	0.066961303	0.05387025	0.038693901	0	0
52.783501	0	0	0	0	0.00706685	0.031974599	0.071942851	0.099630997	0.1292886	0.1100575	0.095692098	0.065339401	0.053522699	0.037767101	0	0
52.920601	0	0	0	0	0.0071827	0.031511199	0.071247749	0.098935902	0.1276667	0.1086673	0.095112853	0.064065047	0.053175151	0.037071999	0	0
53.057701	0	0	0	0	0.0071827	0.031279501	0.070552647	0.098472498	0.12604479	0.10739295	0.094417751	0.06267485	0.0528276	0.036145199	0	0
53.194801	0	0	0	0	0.0071827	0.030816101	0.070089251	0.098009102	0.1244229	0.1061186	0.0936068	0.061516348	0.052480049	0.035450101	0	0
53.331902	0	0	0	0	0.0071827	0.03046855	0.069741704	0.097545698	0.12268515	0.1049601	0.09268	0.06035785	0.052132498	0.034754999	0	0
53.469002	0	0	0	0	0.00706685	0.03000515	0.069509998	0.097198151	0.1209474	0.10391745	0.091637351	0.059199352	0.051784951	0.033944052	0	0
53.606098	0	0	0	0	0.0071827	0.0296576	0.069162451	0.096734747	0.1193255	0.1028748	0.090478852	0.058156699	0.0514374	0.03324895	0	0
53.743198	0	0	0	0	0.0071827	0.029310049	0.068699047	0.096271351	0.1179353	0.10206385	0.089436203	0.05711405	0.050974	0.032437999	0	0
53.880299	0	0	0	0	0.0071827	0.0289625	0.0683515	0.095923796	0.1165451	0.10113705	0.088393547	0.05618725	0.050394751	0.031742901	0	0
54.017399	0	0	0	0	0.00706685	0.0284991	0.067656398	0.095344551	0.1151549	0.1003261	0.087350897	0.055144601	0.0500472	0.031047801	0	0
54.154499	0	0	0	0	0.00706685	0.0282674	0.066961303	0.094765298	0.113533	0.099515148	0.086424097	0.05433365	0.0495838	0.030352701	0	0
54.291599	0	0	0	0	0.006951	0.027919849	0.066150352	0.094070204	0.11202695	0.098472498	0.085497297	0.053638551	0.0491204	0.02977345	0	0
54.428699	0	0	0	0	0.006951	0.027688149	0.065223552	0.093143404	0.1105209	0.097545698	0.084802203	0.053059299	0.048657	0.029078349	0	0
54.5658	0	0	0	0	0.00683515	0.027456449	0.064296752	0.092100747	0.108899	0.096618898	0.084107101	0.052595899	0.048309449	0.028614949	0	0
54.7029	0	0	0	0	0.00683515	0.0273406	0.063254103	0.090942249	0.1072771	0.095692098	0.08329615	0.052016649	0.0477302	0.028151549	0	0
54.84	0	0	0	0	0.0067193	0.0273406	0.06221145	0.089667901	0.10553935	0.0945336	0.082716897	0.051784951	0.0472668	0.0275723	0	0
54.9771	0	0	0	0	0.00660345	0.0273406	0.061052948	0.088509403	0.10368575	0.093375102	0.082021803	0.051553249	0.046687551	0.0271089	0	0
55.114201	0	0	0	0	0.0064876	0.027456449	0.05989445	0.087350897	0.1017163	0.092216603	0.081558399	0.051553249	0.046224151	0.0266455	0	0
55.251301	0	0	0	0	0.0064876	0.0275723	0.058735952	0.08607655	0.099862702	0.091173947	0.081210852	0.051553249	0.045760751	0.0261821	0	0
55.388401	0	0	0	0	0.0062559	0.027919849	0.05757745	0.085033901	0.0982408	0.090247147	0.080863297	0.051784951	0.045297351	0.025834549	0	0
55.525501	0	0	0	0	0.00614005	0.0282674	0.056418952	0.084107101	0.0963872	0.089436203	0.080631599	0.0519008	0.0449498	0.025487	0	0
55.662601	0	0	0	0	0.0060242	0.0287308	0.055144601	0.083180301	0.094649449	0.088509403	0.080284052	0.052132498	0.044718102	0.025139449	0	0
55.799702	0	0	0	0	0.0060242	0.0291942	0.05387025	0.08236935	0.093259253	0.08793015	0.079936497	0.0523642	0.044254702	0.0247919	0	0
55.936798	0	0	0	0	0.00590835	0.02954175	0.052595899	0.081558399	0.091637351	0.087235048	0.079704799	0.052595899	0.043907151	0.0243285	0	0
56.073898	0	0	0	0	0.00590835	0.0298893	0.0514374	0.080747448	0.090247147	0.086539946	0.079241402	0.0528276	0.0435596	0.023980949	0	0
56.210999	0	0	0	0	0.00590835	0.030121	0.050394751	0.079936497	0.08885695	0.085960701	0.078893848	0.053175151	0.043327902	0.023517551	0	0
56.348099	0	0	0	0	0.00590835	0.03046855	0.049004551	0.079125553	0.087466747	0.085381448	0.07866215	0.053175151	0.042980351	0.02317	0	0
56.485199	0	0	0	0	0.0057925	0.030584401	0.047846049	0.078546301	0.086192399	0.084570497	0.078430451	0.05340685	0.042748649	0.0229383	0	0
56.622299	0	0	0	0	0.0057925	0.03070025	0.046571702	0.077851199	0.084686346	0.083759546	0.078198753	0.05340685	0.042401101	0.022590751	0	0
56.759399	0	0	0	0	0.00590835	0.030584401	0.0454132	0.077387802	0.083180301	0.082948603	0.078082897	0.053522699	0.04205355	0.0222432	0	0
56.8965	0	0	0	0	0.00590835	0.03023685	0.044138849	0.077040248	0.081674248	0.082137652	0.077851199	0.0537544	0.041821849	0.0220115	0	0
57.0336	0	0	0	0	0.00590835	0.0298893	0.042980351	0.076924399	0.080168203	0.081326701	0.07773535	0.05387025	0.041474301	0.0217798	0	0
57.1707	0	0	0	0	0.0060242	0.0294259	0.041821849	0.076924399	0.078893848	0.080399901	0.0776195	0.053986099	0.041242599	0.021663951	0	0
57.3078	0	0	0	0	0.0060242	0.0289625	0.04066335	0.077156097	0.077503651	0.079241402	0.07773535	0.053986099	0.041010901	0.0213164	0	0
57.444901	0	0	0	0	0.0060242	0.028383249	0.039388999	0.077271953	0.076229297	0.078082897	0.07773535	0.054101951	0.04066335	0.0210847	0	0
57.582001	0	0	0	0	0.0060242	0.027688149	0.038230501	0.0776195	0.074954949	0.076808549	0.0776195	0.054101951	0.040315799	0.020968851	0	0
57.719101	0	0	0	0	0.00614005	0.0271089	0.037071999	0.077967048	0.073448896	0.075650051	0.077387802	0.05433365	0.039968248	0.020737151	0	0
57.856201	0	0	0	0	0.00614005	0.026529649	0.035797652	0.078430451	0.0720587	0.074375696	0.077040248	0.054565351	0.039852399	0.0206213	0	0
57.993301	0	0	0	0	0.00614005	0.025834549	0.034754999	0.079009697	0.070436798	0.073217198	0.076808549	0.054681201	0.039504848	0.020505451	0	0
58.130402	0	0	0	0	0.00614005	0.0252553	0.03371235	0.079473101	0.069046602	0.071942851	0.076461002	0.054912899	0.039157301	0.0203896	0	0
58.267502	0	0	0	0	0.0060242	0.0245602	0.032669701	0.080168203	0.067772247	0.070668504	0.076113448	0.055144601	0.038925599	0.020273751	0	0
58.404598	0	0	0	0	0.0060242	0.023980949	0.031742901	0.080863297	0.0664979	0.069625847	0.0757659	0.05526045	0.038578048	0.020273751	0	0
58.541698	0	0	0	0	0.0060242	0.0234017	0.03070025	0.081558399	0.065223552	0.068467349	0.075418353	0.05526045	0.038230501	0.0201579	0	0
58.678799	0	0	0	0	0.0060242	0.022822451	0.0296576	0.082253501	0.063833348	0.067308851	0.074954949	0.055028751	0.037998799	0.0201579	0	0
58.815899	0	0	0	0	0.0060242	0.022127351	0.028614949	0.082948603	0.062559001	0.066266201	0.074607402	0.054681201	0.037535399	0.020042051	0	0
58.952999	0	0	0	0	0.00590835	0.021432251	0.0275723	0.083643697	0.061052948	0.065339401	0.074375696	0.05433365	0.037303701	0.020042051	0	0
59.090099	0	0	0	0	0.00590835	0.020737151	0.0266455	0.084454648	0.059546899	0.064065047	0.0739123	0.0537544	0.037071999	0.020042051	0	0
59.2272	0	0	0	0	0.00590835	0.0199262	0.0257187	0.085033901	0.057925001	0.062906548	0.073448896	0.053059299	0.036840301	0.019810351	0	0
59.3643	0	0	0	0	0.00590835	0.0192311	0.024444349	0.085381448	0.056071401	0.06174805	0.0729855	0.0523642	0.03649275	0.019810351	0	0
59.5014	0	0	0	0	0.00590835	0.018420151	0.023285851	0.085729003	0.054101951	0.060473699	0.072406247	0.051553249	0.036261048	0.019578651	0	0
59.6385	0	0	0	0	0.00590835	0.01772505	0.022127351	0.085729003	0.052132498	0.059199352	0.071711153	0.050626449	0.035797652	0.019346951	0	0
59.7756	0	0	0	0	0.00590835	0.01702995	0.0210847	0.085729003	0.0500472	0.058156699	0.070784353	0.049467951	0.035450101	0.019115251	0	0
59.912701	0	0	0	0	0.00590835	0.016450699	0.0199262	0.085381448	0.0481936	0.056998201	0.069973402	0.048541151	0.035218399	0.018883551	0	0
60.049801	0	0	0	0	0.00590835	0.015755599	0.0189994	0.084802203	0.04634	0.055955552	0.0692783	0.047498502	0.034870852	0.018651851	0	0
60.186901	0	0	0	0	0.00590835	0.01517635	0.0180726	0.084107101	0.0444864	0.05479705	0.068583198	0.046571702	0.034523301	0.0183043	0	0
60.324001	0	0	0	0	0.00590835	0.01448125	0.017377499	0.08329615	0.042748649	0.053522699	0.067888103	0.045760751	0.034059901	0.01795675	0	0
60.461102	0	0	0	0	0.00590835	0.013902	0.01679825	0.082253501	0.040895049	0.052248351	0.067193002	0.045065649	0.03371235	0.0176092	0	0
60.598202	0	0	0	0	0.00590835	0.0134386	0.01610315	0.080979154	0.039041448	0.050742298	0.066382051	0.0444864	0.033364799	0.017377499	0	0
60.735298	0	0	0	0	0.00590835	0.01309105	0.0155239	0.07958895	0.037187848	0.049352098	0.0655711	0.043791302	0.033017252	0.017145799	0	0
60.872398	0	0	0	0	0.00590835	0.0127435	0.01494465	0.077851199	0.035450101	0.047961898	0.064760149	0.043212049	0.032669701	0.016914099	0	0
61.009499	0	0	0	0	0.00590835	0.01239595	0.0145971	0.076113448	0.033828199	0.046687551	0.063833348	0.0426328	0.032437999	0.01679825	0	0
61.146599	0	0	0	0	0.00590835	0.0120484	0.01401785	0.074375696	0.032206301	0.045760751	0.062790699	0.0421694	0.032206301	0.01679825	0	0
61.283699	0	0	0	0	0.00590835	0.0118167	0.0136703	0.072406247	0.030816101	0.044718102	0.061863899	0.041706	0.031974599	0.016682399	0	0
61.420799	0	0	0	0	0.00590835	0.01146915	0.01332275	0.070436798	0.02954175	0.044023	0.06082125	0.041474301	0.03185875	0.01679825	0	0
61.557899	0	0	0	0	0.00590835	0.01123745	0.0129752	0.068235651	0.028614949	0.0435596	0.060126148	0.04112675	0.031627052	0.016682399	0	0
61.695	0	0	0	0	0.00590835	0.01100575	0.01285935	0.066150352	0.027919849	0.0430962	0.05943105	0.040895049	0.03139535	0.01656655	0	0
61.8321	0	0	0	0	0.00590835	0.0106582	0.0127435	0.065107703	0.0275723	0.042864501	0.058735952	0.040547501	0.031047801	0.016450699	0	0
61.9692	0	0	0	0	0.0060242	0.01077405	0.0129752	0.064644299	0.0273406	0.043327902	0.058272552	0.040084101	0.03093195	0.01633485	0	0
62.1063	0	0	0	0	0.00614005	0.0106582	0.0132069	0.063833348	0.0271089	0.0435596	0.057693299	0.03973655	0.030584401	0.01633485	0	0
62.243401	0	0	0	0	0.0062559	0.0104265	0.01332275	0.063022397	0.026761349	0.043675449	0.05711405	0.03927315	0.03023685	0.01610315	0	0
62.380501	0	0	0	0	0.0062559	0.01031065	0.01355445	0.06174805	0.026297949	0.043791302	0.05665065	0.038925599	0.03000515	0.015987299	0	0
62.517601	0	0	0	0	0.0062559	0.01007895	0.0136703	0.06035785	0.025834549	0.043675449	0.056303099	0.038578048	0.0296576	0.01563975	0	0
62.654701	0	0	0	0	0.0062559	0.0097314	0.01378615	0.05896765	0.025371149	0.043212049	0.056071401	0.038230501	0.02954175	0.0155239	0	0
62.791801	0	0	0	0	0.0062559	0.00938385	0.01378615	0.057345752	0.0247919	0.0426328	0.055839699	0.037767101	0.0294259	0.0152922	0	0
62.928902	0	0	0	0	0.0062559	0.00915215	0.01355445	0.055608001	0.0240968	0.041706	0.055608001	0.03741955	0.029310049	0.0150605	0	0
63.066002	0	0	0	0	0.0060242	0.00868875	0.0134386	0.0537544	0.0236334	0.04066335	0.05526045	0.03695615	0.0294259	0.0148288	0	0
63.203098	0	0	0	0	0.0060242	0.00822535	0.0132069	0.052016649	0.02317	0.039504848	0.055028751	0.036608599	0.029310049	0.0145971	0	0
63.340199	0	0	0	0	0.0057925	0.00776195	0.0129752	0.050163049	0.022590751	0.038462199	0.054565351	0.03602935	0.0294259	0.0143654	0	0
63.477299	0	0	0	0	0.0057925	0.0074144	0.0127435	0.048425298	0.0222432	0.037187848	0.054101951	0.03556595	0.02954175	0.0141337	0	0
63.614399	0	0	0	0	0.0055608	0.006951	0.01262765	0.046571702	0.0217798	0.035913501	0.0537544	0.034870852	0.02954175	0.013902	0	0
63.751499	0	0	0	0	0.00544495	0.00660345	0.0122801	0.044718102	0.021200551	0.034870852	0.053291	0.034291599	0.0296576	0.0136703	0	0
63.888599	0	0	0	0	0.00521325	0.00637175	0.0118167	0.042748649	0.020505451	0.033596501	0.052711751	0.033596501	0.0298893	0.01332275	0	0
64.025703	0	0	0	0	0.00498155	0.0060242	0.01123745	0.04066335	0.0199262	0.032669701	0.052016649	0.03278555	0.03000515	0.0132069	0	0
64.162804	0	0	0	0	0.004634	0.00567665	0.0106582	0.038578048	0.019115251	0.03185875	0.051321551	0.03232215	0.030121	0.0129752	0	0
64.299896	0	0	0	0	0.00451815	0.00544495	0.0099631	0.036608599	0.018420151	0.031047801	0.0505106	0.031627052	0.03023685	0.01262765	0	0
64.436996	0	0	0	0	0.00428645	0.00521325	0.009268	0.034523301	0.0176092	0.03023685	0.049699649	0.03093195	0.030584401	0.0122801	0	0
64.574097	0	0	0	0	0.00405475	0.0050974	0.0085729	0.032437999	0.016682399	0.0296576	0.048888698	0.030352701	0.03070025	0.0120484	0	0
64.711197	0	0	0	0	0.0037072	0.0048657	0.00776195	0.03046855	0.01587145	0.0291942	0.048077751	0.02954175	0.031047801	0.01170085	0	0
64.848297	0	0	0	0	0.0034755	0.004634	0.006951	0.0282674	0.01494465	0.0287308	0.0472668	0.028846649	0.03116365	0.0113533	0	0
64.985397	0	0	0	0	0.0032438	0.0044023	0.00614005	0.026297949	0.013902	0.0282674	0.046455849	0.0280357	0.031279501	0.0108899	0	0
65.122498	0	0	0	0	0.0030121	0.00405475	0.0053291	0.0240968	0.01285935	0.027688149	0.045644902	0.0271089	0.031511199	0.01054235	0	0
65.259598	0	0	0	0	0.00266455	0.0037072	0.0044023	0.0220115	0.01170085	0.0273406	0.0449498	0.0264138	0.031627052	0.01007895	0	0
65.396698	0	0	0	0	0.00243285	0.0034755	0.0037072	0.020042051	0.01054235	0.026761349	0.044138849	0.025834549	0.031627052	0.0097314	0	0
65.533798	0	0	0	0	0.00220115	0.00312795	0.0027804	0.0178409	0.0094997	0.026297949	0.043443751	0.0252553	0.031742901	0.009268	0	0
65.670898	0	0	0	0	0.0018536	0.0027804	0.0020853	0.01563975	0.0083412	0.025834549	0.0426328	0.0247919	0.031742901	0.00892045	0	0
65.807999	0	0	0	0	0.00173775	0.00243285	0.00127435	0.0134386	0.0071827	0.025371149	0.041706	0.024444349	0.031742901	0.00845705	0	0
65.945099	0	0	0	0	0.0013902	0.00196945	0.0009268	0.01123745	0.00614005	0.0250236	0.04066335	0.024212649	0.031742901	0.00822535	0	0
66.082199	0	0	0	0	0.0011585	0.0016219	0.0006951	0.009268	0.00498155	0.0245602	0.039620701	0.0240968	0.031627052	0.0078778	0	0
66.219299	0	0	0	0	0.0009268	0.00127435	0.0004634	0.00729855	0.0039389	0.023980949	0.038578048	0.023980949	0.031511199	0.0076461	0	0
66.3564	0	0	0	0	0.0006951	0.0011585	0.0002317	0.0053291	0.00289625	0.023517551	0.037535399	0.0240968	0.031511199	0.00729855	0	0
66.4935	0	0	0	0	0.0004634	0.00081095	0.00011585	0.0037072	0.00196945	0.022822451	0.03649275	0.0243285	0.03139535	0.00706685	0	0
66.6306	0	0	0	0	0.00034755	0.0004634	0	0.00196945	0.00104265	0.022127351	0.035450101	0.0245602	0.03116365	0.0067193	0	0
66.7677	0	0	0	0	0.00011585	0.0002317	0	0.0011585	0.00011585	0.021200551	0.034407452	0.024907749	0.03116365	0.00637175	0	0
66.9048	0	0	0	0	0	0.00011585	0	0.00057925	0	0.0203896	0.03324895	0.025487	0.031047801	0.0062559	0	0
67.041901	0	0	0	0	0	0	0	0	0	0.0206213	0.032090452	0.0257187	0.03093195	0.0060242	0	0
67.179001	0	0	0	0	0	0	0	0	0	0.020853	0.031047801	0.026066249	0.030816101	0.0057925	0	0
67.316101	0	0	0	0	0	0	0	0	0	0.0210847	0.0298893	0.0264138	0.030816101	0.0055608	0	0
67.453201	0	0	0	0	0	0	0	0	0	0.0213164	0.0287308	0.026761349	0.030584401	0.0053291	0	0
67.590302	0	0	0	0	0	0	0	0	0	0.021432251	0.027688149	0.0271089	0.030352701	0.00521325	0	0
67.727402	0	0	0	0	0	0	0	0	0	0.0215481	0.026761349	0.0273406	0.03023685	0.0050974	0	0
67.864502	0	0	0	0	0	0	0	0	0	0.021663951	0.0259504	0.0275723	0.030121	0.00498155	0	0
68.001602	0	0	0	0	0	0	0	0	0	0.021663951	0.0252553	0.027688149	0.0298893	0.00474985	0	0
68.138702	0	0	0	0	0	0	0	0	0	0.021663951	0.024676049	0.027804	0.02977345	0.00474985	0	0
68.275803	0	0	0	0	0	0	0	0	0	0.0215481	0.0240968	0.0275723	0.0296576	0.004634	0	0
68.412903	0	0	0	0	0	0	0	0	0	0.021432251	0.023749251	0.027456449	0.02954175	0.004634	0	0
68.550003	0	0	0	0	0	0	0	0	0	0.021200551	0.023285851	0.0271089	0.029310049	0.004634	0	0
68.687103	0	0	0	0	0	0	0	0	0	0.020968851	0.023054151	0.0268772	0.0291942	0.004634	0	0
68.824203	0	0	0	0	0	0	0	0	0	0.0206213	0.023054151	0.0266455	0.0289625	0.004634	0	0
68.961304	0	0	0	0	0	0	0	0	0	0.0201579	0.022822451	0.026297949	0.0287308	0.00474985	0	0
69.098396	0	0	0	0	0	0	0	0	0	0.0196945	0.022822451	0.025834549	0.028383249	0.0048657	0	0
69.235497	0	0	0	0	0	0	0	0	0	0.019115251	0.022590751	0.0252553	0.0280357	0.00498155	0	0
69.372597	0	0	0	0	0	0	0	0	0	0.018536	0.022127351	0.024676049	0.027688149	0.00498155	0	0
69.509697	0	0	0	0	0	0	0	0	0	0.01795675	0.0217798	0.023980949	0.0273406	0.0050974	0	0
69.646797	0	0	0	0	0	0	0	0	0	0.017377499	0.0215481	0.023285851	0.026993049	0.00521325	0	0
69.783897	0	0	0	0	0	0	0	0	0	0.016914099	0.0210847	0.022590751	0.026529649	0.0053291	0	0
69.920998	0	0	0	0	0	0	0	0	0	0.016450699	0.020853	0.0217798	0.026297949	0.0055608	0	0
70.058098	0	0	0	0	0	0	0	0	0	0.01610315	0.0206213	0.020968851	0.0259504	0.00567665	0	0
70.195198	0	0	0	0	0	0	0	0	0	0.015755599	0.020273751	0.0201579	0.025602849	0.0057925	0	0
70.332298	0	0	0	0	0	0	0	0	0	0.0155239	0.0199262	0.019346951	0.025371149	0.00590835	0	0
70.469398	0	0	0	0	0	0	0	0	0	0.0152922	0.019578651	0.018420151	0.0250236	0.0060242	0	0
70.606499	0	0	0	0	0	0	0	0	0	0.0152922	0.0192311	0.0176092	0.024676049	0.00614005	0	0
70.743599	0	0	0	0	0	0	0	0	0	0.0152922	0.0187677	0.01679825	0.0245602	0.00614005	0	0
70.880699	0	0	0	0	0	0	0	0	0	0.0155239	0.01818845	0.01610315	0.0243285	0.0062559	0	0
71.017799	0	0	0	0	0	0	0	0	0	0.01587145	0.0178409	0.0152922	0.023980949	0.00637175	0	0
71.1549	0	0	0	0	0	0	0	0	0	0.01633485	0.0176092	0.0145971	0.023749251	0.00660345	0	0
71.292	0	0	0	0	0	0	0	0	0	0.016914099	0.01749335	0.013902	0.023517551	0.00660345	0	0
71.4291	0	0	0	0	0	0	0	0	0	0.01749335	0.01749335	0.0134386	0.023285851	0.0067193	0	0
71.5662	0	0	0	0	0	0	0	0	0	0.0180726	0.0176092	0.01285935	0.0229383	0.00683515	0	0
71.7033	0	0	0	0	0	0	0	0	0	0.018651851	0.0178409	0.01239595	0.0227066	0.006951	0	0
71.840401	0	0	0	0	0	0	0	0	0	0.0192311	0.01795675	0.0120484	0.022590751	0.006951	0	0
71.977501	0	0	0	0	0	0	0	0	0	0.0196945	0.0183043	0.0118167	0.022359051	0.006951	0	0
72.114601	0	0	0	0	0	0	0	0	0	0.020273751	0.018651851	0.01146915	0.0220115	0.00706685	0	0
72.251701	0	0	0	0	0	0	0	0	0	0.0206213	0.018883551	0.0113533	0.0217798	0.00706685	0	0
72.388802	0	0	0	0	0	0	0	0	0	0.020968851	0.0192311	0.01123745	0.0215481	0.0071827	0	0
72.525902	0	0	0	0	0	0	0	0	0	0.021200551	0.019578651	0.01123745	0.0213164	0.0071827	0	0
72.663002	0	0	0	0	0	0	0	0	0	0.021200551	0.020042051	0.01123745	0.0210847	0.00729855	0	0
72.800102	0	0	0	0	0	0	0	0	0	0.0210847	0.020505451	0.0113533	0.020737151	0.0071827	0	0
72.937202	0	0	0	0	0	0	0	0	0	0.020853	0.020853	0.01146915	0.020505451	0.0071827	0	0
73.074303	0	0	0	0	0	0	0	0	0	0.0206213	0.021432251	0.01170085	0.020273751	0.0071827	0	0
73.211403	0	0	0	0	0	0	0	0	0	0.0203896	0.0217798	0.0118167	0.020042051	0.0071827	0	0
